unique_key,dataset,official_split,source_subset,image_id,original_filename,product_id,image_number,source_shard,augmentation_round,crop_count,usage_split,used_for_training,image_id_recovered
fashionpedia::train2020::135,fashionpedia,train2020,,135,f701653e4cac2fc6e5a3fb9baa3591e1.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::137,fashionpedia,train2020,,137,06fa3e5101b0e7cbf19d4e031c59aea6.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::140,fashionpedia,train2020,,140,e01aa0b489bb88ec0c7a7537c7b9ddb0.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::142,fashionpedia,train2020,,142,67644215a127f4940898c57b0d0efd4b.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::149,fashionpedia,train2020,,149,bb8fd8aeb8a6aa2a6cd3682a85b9e3ac.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::153,fashionpedia,train2020,,153,4ff65e76bbffd7c644e566e0dc293516.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::156,fashionpedia,train2020,,156,2058dd138bdc168ec26724df84611edc.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::163,fashionpedia,train2020,,163,7afd9c957d49502825be8ab5733f0a6a.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::167,fashionpedia,train2020,,167,d36af75bd96eba530a370f837ea223d0.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::174,fashionpedia,train2020,,174,ac2053ab6f68f714bfee45c2295b3dd4.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::177,fashionpedia,train2020,,177,4b1b8876d9d4412d3e9047fae89fe895.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::178,fashionpedia,train2020,,178,ce35b8496c3bb2c85089302e1651c23d.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::184,fashionpedia,train2020,,184,df1513847f5756eae57b0f429c0cec0f.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::185,fashionpedia,train2020,,185,16cb7a9b2a1954a5e39886d1b850a1e8.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::189,fashionpedia,train2020,,189,d935f1898b80d3531a538b89970c0320.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::202,fashionpedia,train2020,,202,5cda9d200452d4ef827d8526ff4829a9.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::203,fashionpedia,train2020,,203,375cdddc3df2667d1c9a0efc3af04741.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::204,fashionpedia,train2020,,204,6b61e5dab7f4d938ea282aebd1f9808e.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::205,fashionpedia,train2020,,205,6ce044f8adb1edb6a290c00855573817.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::206,fashionpedia,train2020,,206,ca8efad3a5a4b04c9eb7d378cf4e6723.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::209,fashionpedia,train2020,,209,c73c597687b3534e3b4c95a16b5dfaf7.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::212,fashionpedia,train2020,,212,9c950cdc756c7387da49d0cff0787d71.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::222,fashionpedia,train2020,,222,e5794b1e13ca002134f0038e121da459.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::227,fashionpedia,train2020,,227,c430bf98979343f1ac6bda368c8f455e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::230,fashionpedia,train2020,,230,eacdcf92221b1c80ed080345482e3d61.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::232,fashionpedia,train2020,,232,17195df67f1f125bad9592bf22e5be02.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::233,fashionpedia,train2020,,233,cbc16a451e87d180604f540c52bcf10c.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::236,fashionpedia,train2020,,236,102d4a7b90591a6a2e9b0b1e193be46e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::240,fashionpedia,train2020,,240,3b6151d5d5d83fa5599a8bde2819643f.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::242,fashionpedia,train2020,,242,e5d13843fc6451dacdd48a28117cbf49.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::243,fashionpedia,train2020,,243,e862fff11bd581242e9618556991a15d.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::245,fashionpedia,train2020,,245,583a51b6c13121b4018ff8ddc61be2f6.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::246,fashionpedia,train2020,,246,ea11c57941afc2136301df744111a0fd.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::247,fashionpedia,train2020,,247,ffa3ea1e617fc51d9f897c3651d8c58c.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::248,fashionpedia,train2020,,248,f9c294bab05e287059da087c0c94470e.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::250,fashionpedia,train2020,,250,9f1e705a5685e13cc69656de263e880c.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::252,fashionpedia,train2020,,252,d0f134a7936dd9580b9ca6a64279014c.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::254,fashionpedia,train2020,,254,52cf9a0ccba820b33f04b0326f83aecd.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::257,fashionpedia,train2020,,257,b9e4ceb049d792dbfe50a4d6df15d376.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::258,fashionpedia,train2020,,258,41c324169eeb24ed674c12b5ed730434.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::269,fashionpedia,train2020,,269,9728488d177a083a791c56d97999273a.jpg,,,0,1,0,selected_no_valid_crop,false,true
fashionpedia::train2020::270,fashionpedia,train2020,,270,f910f0e7b360f15ea1aace97b2878bad.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::274,fashionpedia,train2020,,274,b63e9ca00ba7cbab8ba48e151be9cb9d.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::282,fashionpedia,train2020,,282,66bcb9387a04e8b45cf7bd813449d19d.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::285,fashionpedia,train2020,,285,ca7ea1603b9c3dc36537e2309aea7e9b.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::287,fashionpedia,train2020,,287,af2186a66a20adf06c22a3b2913b5cad.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::290,fashionpedia,train2020,,290,d51bdf4541d32a4a984b4f30b00807d2.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::293,fashionpedia,train2020,,293,3e911dacd5eba2d543547e1f5385ebe0.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::295,fashionpedia,train2020,,295,dd9096bc6c0c4833135d82d17b4acf5a.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::296,fashionpedia,train2020,,296,2ce4f37608c4fa9317c9f3ac1f48ca75.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::298,fashionpedia,train2020,,298,a1623b23425d8e7d38a9508afd4f15ee.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::310,fashionpedia,train2020,,310,5a71b2676ad6a490a87782e3d7039afc.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::311,fashionpedia,train2020,,311,12baec7f4ad25be3a4fb603eacd9944f.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::315,fashionpedia,train2020,,315,61d9c7a5bb32bf978bc882623f512893.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::316,fashionpedia,train2020,,316,cdc69aeff25a01a3d9d00aae5135f9d1.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::318,fashionpedia,train2020,,318,f8cf1de3af7c123b25a0a7bd451bc047.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::322,fashionpedia,train2020,,322,b0f2803d8b0ef7663937ef32d995866f.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::329,fashionpedia,train2020,,329,b4594df6d918c3c747d6bd39df10be26.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::338,fashionpedia,train2020,,338,5ff46c574d5004855b48be942aadf56e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::343,fashionpedia,train2020,,343,de5ba775c77fa5e66806982f5debf06a.jpg,,,0,1,4,new_val,false,true
fashionpedia::train2020::344,fashionpedia,train2020,,344,341b64b6f8122833afe2e36ea010c5a4.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::348,fashionpedia,train2020,,348,b239942f133c56c0da3094b71d64b0ef.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::351,fashionpedia,train2020,,351,7151932f4600847dedd8a806a7505e5d.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::355,fashionpedia,train2020,,355,605443a80838acba2c88cec68f8eee11.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::358,fashionpedia,train2020,,358,80132519afb9157a363a40c6072e1a8e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::360,fashionpedia,train2020,,360,47fef5213078e059265a2ada33e94a1c.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::364,fashionpedia,train2020,,364,5eb38f67de2b0389b9e2689431ee9a11.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::366,fashionpedia,train2020,,366,37af9186f8339fec04336204c082f2a2.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::367,fashionpedia,train2020,,367,137d28c29a22cfa69c560b4cc13d31b0.jpg,,,0,1,4,train,true,true
fashionpedia::train2020::370,fashionpedia,train2020,,370,818f307682e6cf6c57b37258b6401f2f.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::372,fashionpedia,train2020,,372,e1d1d2832d427df8bf094ccdc46d1182.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::373,fashionpedia,train2020,,373,c7c0849a526d0c7afc7f1fdbe21d773c.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::375,fashionpedia,train2020,,375,9eabfc85ce0c4e5b0bff309916141c41.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::380,fashionpedia,train2020,,380,a151a273ea0996d7706ee009e4751883.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::382,fashionpedia,train2020,,382,08fc98b47358c5ae54fc642ebdbe64a0.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::385,fashionpedia,train2020,,385,722fc552af055aaf01cd7a98f8999047.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::388,fashionpedia,train2020,,388,1ad08ca84d22d95144d44fd1d62dae8f.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::394,fashionpedia,train2020,,394,e9d6a217f43414d6b0f47956ba627bd6.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::395,fashionpedia,train2020,,395,9916c171eb422c2c04822252b6b43d5e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::398,fashionpedia,train2020,,398,70bc4d6babf677d8745c19ca6ce46609.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::399,fashionpedia,train2020,,399,18221cc9972085715118965adb234242.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::400,fashionpedia,train2020,,400,fd786dc34f4ec2591ee528a272088d87.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::401,fashionpedia,train2020,,401,747db5b11e4d1df9ebef65e4a3370eb1.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::404,fashionpedia,train2020,,404,e6df78458fc975fcd10af43b39508190.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::411,fashionpedia,train2020,,411,b7892ba164b21edcfbb83cfcf5833fd1.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::412,fashionpedia,train2020,,412,c97e978062ca43d787acfac201820572.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::416,fashionpedia,train2020,,416,39cb49a71b07fa74b9217f2009daa5a8.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::417,fashionpedia,train2020,,417,972ca6dbb1dafbcf59fb7013b404a560.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::422,fashionpedia,train2020,,422,d1e805cf25f9757172ba64e1cc69ee9f.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::424,fashionpedia,train2020,,424,7d523882f294d2ac57d74d82a170e65e.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::427,fashionpedia,train2020,,427,d3956b9036a84b12f93c69bff1af051b.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::432,fashionpedia,train2020,,432,e1717d7d32f9aa2abb390747d750ad69.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::433,fashionpedia,train2020,,433,a365b7fae909e0714445379f1673fc31.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::435,fashionpedia,train2020,,435,82c9aaeffcecc96b26116ad13da6f069.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::438,fashionpedia,train2020,,438,77477a00ce5a4017a32bae98283c554a.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::444,fashionpedia,train2020,,444,1e7b82ca3669309e347d5a9bf98c82cd.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::449,fashionpedia,train2020,,449,bff5e64ca81a76c95fab83f4d6a15b03.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::451,fashionpedia,train2020,,451,cbc1c3dfe2e4a7dce7a98a9779ba10ae.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::452,fashionpedia,train2020,,452,e2c84ac0b0e5e8f011cd67edf819a0f2.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::453,fashionpedia,train2020,,453,7a4e709651d784b52b0dd197a352152a.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::454,fashionpedia,train2020,,454,5e5a68bb267afc287b8e800f144c1e26.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::455,fashionpedia,train2020,,455,0aef0085f9dd64eedbbcd3f422c2e4fc.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::456,fashionpedia,train2020,,456,2a383525bf91af7962ee9a88e1cee2e6.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::459,fashionpedia,train2020,,459,6e1851e908162f3fbd5bd0ffaccdb127.jpg,,,0,1,4,new_val,false,true
fashionpedia::train2020::465,fashionpedia,train2020,,465,b73a014265578b0977b27d1ecf9a1eae.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::468,fashionpedia,train2020,,468,a35de2e3a3f76e43818f7d44bd9cabe1.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::470,fashionpedia,train2020,,470,8a9cebbd5cd463f7d5121f5634f0e135.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::474,fashionpedia,train2020,,474,0e3f1faa00fab86b17e97e6e9a3a8c31.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::475,fashionpedia,train2020,,475,4dbd8f9ff36cfb61da17c0ca7730836f.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::476,fashionpedia,train2020,,476,b226be45595139742e303d83ab1e6fa4.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::477,fashionpedia,train2020,,477,2915fb83c4f9b52c3093139a83bd0353.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::479,fashionpedia,train2020,,479,9de1c2ecccf482cee64a7297a9282707.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::481,fashionpedia,train2020,,481,ad1030c1188637b62b9dc0c7ed124099.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::482,fashionpedia,train2020,,482,2127a53f03388bee20e3bfc8b229df28.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::484,fashionpedia,train2020,,484,47209168235ce43983e1df47d7bcab39.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::490,fashionpedia,train2020,,490,ce58e988f108dd47f6c137cf76378812.jpg,,,0,1,6,train,true,true
fashionpedia::train2020::493,fashionpedia,train2020,,493,3f6753705b0b3b324d360fa52495c848.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::499,fashionpedia,train2020,,499,08a29758ecb141a52a28e709b485ac3d.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::502,fashionpedia,train2020,,502,0b3ffa712c9448e14cb245b306111d50.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::505,fashionpedia,train2020,,505,34299a54b636d6ae659ec77f1709a5f4.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::509,fashionpedia,train2020,,509,72a9fa5b84746adc3d54f513f4bf2eef.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::510,fashionpedia,train2020,,510,6b1d8eca7401ee95b070f5c28e2df96d.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::514,fashionpedia,train2020,,514,8e62d473bc162ca223890aa872b7e08d.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::516,fashionpedia,train2020,,516,16ddba3f9f400eb18f9996323bb4fed9.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::520,fashionpedia,train2020,,520,6129606eaca52c6b455df9e1a9657a97.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::527,fashionpedia,train2020,,527,8c641a2d7d22d5a517a69b572b6cb86a.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::528,fashionpedia,train2020,,528,6a6bb77054aa50449b12a8173807f1dd.jpg,,,0,1,4,train,true,true
fashionpedia::train2020::535,fashionpedia,train2020,,535,80301efa49132c72f94f7c723148da87.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::542,fashionpedia,train2020,,542,7ae181873bf9bae88957641ef5db2f49.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::546,fashionpedia,train2020,,546,bf986edd3fecd64ec1d2517ee1de6c23.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::548,fashionpedia,train2020,,548,6458f94e7e5b0146699bc77a0e5d0bf0.jpg,,,0,1,4,train,true,true
fashionpedia::train2020::549,fashionpedia,train2020,,549,a464d96fae299e8a04491ca0c7915d14.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::554,fashionpedia,train2020,,554,c4f66ee6ccaa2a82299393170c39c92e.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::555,fashionpedia,train2020,,555,e49a0aa5a447e3a4cd25b7064c15ce62.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::559,fashionpedia,train2020,,559,773c4fd0ac3a188e9898cd57de9046bc.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::563,fashionpedia,train2020,,563,b59cda633ed6197fefac3eec2cbdd6df.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::565,fashionpedia,train2020,,565,97d7e3955df810fe8545861bf8f1e68c.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::568,fashionpedia,train2020,,568,f6e378bd282aab7fbf22f9c240a79f92.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::569,fashionpedia,train2020,,569,489f81c9eda9b6a1fef210186d5fb851.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::578,fashionpedia,train2020,,578,3577b54373e569f683795fbb7e18374a.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::580,fashionpedia,train2020,,580,f12aa2d52dfe701047e0410dff2562c5.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::582,fashionpedia,train2020,,582,2019ac89b11a5ec028a0578aa5fe4edf.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::583,fashionpedia,train2020,,583,76dd1f131459ff64602129499ae61a0f.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::584,fashionpedia,train2020,,584,6a70c8d08b476ada7cc52e1c19b862fc.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::593,fashionpedia,train2020,,593,a24b1f3ab95d4f9731d394c35fe3a649.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::594,fashionpedia,train2020,,594,755b37051fc24be68509b68815ef4868.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::595,fashionpedia,train2020,,595,2d9a5b8b88193b1fa4abfc5a581e5473.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::596,fashionpedia,train2020,,596,4f1e84d1931cb797860cdb2c790debf4.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::601,fashionpedia,train2020,,601,3d9779203d671de4fef802b755bd21be.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::617,fashionpedia,train2020,,617,4aa3adbe60289a222a1981610686196f.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::619,fashionpedia,train2020,,619,60c2ec8558b3e0f9031c4fb70a3296a5.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::623,fashionpedia,train2020,,623,988955519890b91e68278521c52cf181.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::624,fashionpedia,train2020,,624,bc05d29efae8f6cdcf042244a1294ac9.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::627,fashionpedia,train2020,,627,ec80ecfe0216662837a4f95560aa0da8.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::630,fashionpedia,train2020,,630,566d5e9467702bb8d404eb840e2c7b83.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::633,fashionpedia,train2020,,633,f1f62b9263956a1f09a84c7465dbec7a.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::644,fashionpedia,train2020,,644,44edce99ef66aee0956fe17e938a9dbe.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::648,fashionpedia,train2020,,648,d2d34421524e3383a096590683621e01.jpg,,,0,1,4,train,true,true
fashionpedia::train2020::649,fashionpedia,train2020,,649,63513e53433ff199f1e1f40f93901f3e.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::651,fashionpedia,train2020,,651,b35e61330a0472810009b80910bc29b2.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::655,fashionpedia,train2020,,655,a3496ab4f2737c0878324cbd7607351f.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::657,fashionpedia,train2020,,657,d6e328a06de36af3f821d8d743c78500.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::672,fashionpedia,train2020,,672,6a7d721c17ddf7712cd86bde6f067fab.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::673,fashionpedia,train2020,,673,f4d811181ca6367340272ea2817eebb6.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::674,fashionpedia,train2020,,674,0fa4be98f11aaf7970d0230df4ae3ddf.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::676,fashionpedia,train2020,,676,587418867f37855df1410aaa8e232094.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::681,fashionpedia,train2020,,681,f796edb2c8fd0de4ba251a802316acfb.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::683,fashionpedia,train2020,,683,b2bac779c3ce5733ca8c477e44ad4d3c.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::685,fashionpedia,train2020,,685,dc1262ebac0572e0d1216b08a91859f0.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::689,fashionpedia,train2020,,689,c35a07ed7a2ed05559c11c38d00235ec.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::690,fashionpedia,train2020,,690,6299e6b790109a51e54cf55359132be7.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::691,fashionpedia,train2020,,691,9046316b4a890b8aa427ad36b04443ad.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::693,fashionpedia,train2020,,693,35d89b79e4ffd9da703408aa25cf230a.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::695,fashionpedia,train2020,,695,1b65d189910ba8ba68e64a57d58eb863.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::697,fashionpedia,train2020,,697,63bc20562923b07a6c0dff23c64f19b1.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::699,fashionpedia,train2020,,699,b9c32af18f17f8387a9713e5bb436fd7.jpg,,,0,1,1,new_val,false,true
